"year","month","day","tmax","measurement.flag.4","quality.flag.4","source.flag.4","tmin","measurement.flag.5","quality.flag.5","source.flag.5"
2000,11,1,144,NA,NA,"0",11,NA," ","0"
2000,11,2,156,NA,NA,"0",-6,NA," ","0"
2000,11,3,128,NA,NA,"0",6,NA," ","0"
2000,11,4,167,NA,NA,"0",28,NA," ","0"
2000,11,5,167,NA,NA,"0",28,NA," ","0"
2000,11,6,128,NA,NA,"0",22,NA," ","0"
2000,11,7,189,NA,NA,"0",72,NA," ","0"
2000,11,8,183,NA,NA,"0",61,NA," ","0"
2000,11,9,133,NA,NA,"0",50,NA," ","0"
2000,11,10,122,NA,NA,"0",94,NA," ","0"
2000,11,11,117,NA,NA,"0",61,NA," ","0"
2000,11,12,139,NA,NA,"0",39,NA," ","0"
2000,11,13,139,NA,NA,"0",50,NA," ","0"
2000,11,14,133,NA,NA,"0",100,NA," ","0"
2000,11,15,161,NA,NA,"0",61,NA," ","0"
2000,11,16,172,NA,NA,"0",44,NA," ","0"
2000,11,17,167,NA,NA,"0",28,NA," ","0"
2000,11,18,117,NA,NA,"0",33,NA," ","0"
2000,11,19,167,NA,NA,"0",11,NA," ","0"
2000,11,20,167,NA,NA,"0",17,NA," ","0"
2000,11,21,150,NA,NA,"0",0,NA," ","0"
2000,11,22,150,NA,NA,"0",39,NA," ","0"
2000,11,23,128,NA,NA,"0",0,NA," ","0"
2000,11,24,156,NA,NA,"0",33,NA," ","0"
2000,11,25,150,NA,NA,"0",17,NA," ","0"
2000,11,26,150,NA,NA,"0",0,NA," ","0"
2000,11,27,161,NA,NA,"0",0,NA," ","0"
2000,11,28,189,NA,NA,"0",-6,NA," ","0"
2000,11,29,156,NA,NA,"0",-11,NA," ","0"
2000,11,30,167,NA,NA,"0",-22,NA," ","0"
2000,11,31,167,NA,NA,"0",-33,NA," ","0"
2001,0,1,144,NA,NA,"0",-6,NA," ","0"
2001,0,2,167,NA,NA,"0",-11,NA," ","0"
2001,0,3,178,NA,NA,"0",-11,NA," ","0"
2001,0,4,178,NA,NA,"0",-22,NA," ","0"
2001,0,5,183,NA,NA,"0",-28,NA," ","0"
2001,0,6,161,NA,NA,"0",-22,NA," ","0"
2001,0,7,117,NA,NA,"0",6,NA," ","0"
2001,0,8,128,NA,NA,"0",33,NA," ","0"
2001,0,9,100,NA,NA,"0",-6,NA," ","0"
2001,0,10,156,NA,NA,"0",28,NA," ","0"
2001,0,11,106,NA,NA,"0",39,NA," ","0"
